player,points_pros,date,player_team
William James Nunnally,13.5,2022-11-24,PAR
Zach Leday,12.5,2022-11-24,PAR
Alec Peters,13.5,2022-11-24,OLY
Isaiah Canaan,11.5,2022-11-24,OLY
Thomas Walkup,8.5,2022-11-24,OLY
Moustapha Fall,9.5,2022-11-24,OLY
Kostas Papanikolaou,8.5,2022-11-24,OLY
Nemanja Nedovic,13.5,2022-11-24,RED
Nicolo Melli,6.5,2022-11-24,MIL
Devon Hall,7.5,2022-11-24,MIL
Jordan Mickey,10.5,2022-12-02,VIR
Iffe Lundberg,14.5,2022-12-02,VIR
Ismael Bako,6.5,2022-12-02,VIR
Daniel Hackett,6.5,2022-12-02,VIR
Nigel Hayes,11.5,2022-12-02,ULK
Nick Calathes,9.5,2022-12-02,ULK
Sergio Llull,7.5,2022-12-02,MAD
Mario Hezonja,7.5,2022-12-02,MAD
Gabriel Deck,11.5,2022-12-02,MAD
Walter Tavares,11.5,2022-12-02,MAD
Keenan Evans,16.5,2022-12-02,ZAL
Rolands Smits,11.5,2022-12-02,ZAL
Edgaras Ulanovas,9.5,2022-12-02,ZAL
Georgios Papagiannis,8.5,2022-12-02,PAN
Mateusz Ponitka,11.5,2022-12-02,PAN
Dwayne Bacon,17.5,2022-12-02,PAN
Derrick Williams,13.5,2022-12-02,PAN
Augustine Rubit,8.5,2022-12-02,MUN
Andreas Obst,10.5,2022-12-02,MUN
Nick Weiler-Babb,6.5,2022-12-02,MUN
Roman Sorkin,7.5,2022-12-02,TEL
Josh Nebo,8.5,2022-12-02,TEL
Alex Poythress,8.5,2022-12-02,TEL
Rodrigue Beaubois,12.5,2022-12-23,IST
Will Clyburn,17.5,2022-12-23,IST
Vasilije Micic,18.5,2022-12-23,IST
Georgios Papagiannis,6.5,2022-12-23,PAN
Mateusz Ponitka,8.5,2022-12-23,PAN
Dwayne Bacon,18.5,2022-12-23,PAN
Derrick Williams,12.5,2022-12-23,PAN
Keenan Evans,15.5,2022-12-23,ZAL
Kevarrius Hayes,8.5,2022-12-23,ZAL
Torrian Walden,9.5,2022-12-23,MUN
Othello Hunter,7.5,2022-12-23,MUN
Brandon Davies,10.5,2022-12-23,MIL
Billy Baron,10.5,2022-12-23,MIL
Nicolo Melli,8.5,2022-12-23,MIL
Elie Okobo,11.5,2022-12-23,MCO
Alpha Diallo,9.5,2022-12-23,MCO
Mike James,18.5,2022-12-23,MCO
Donatas Motiejunas,9.5,2022-12-23,MCO
Chris Jones,14.5,2022-12-23,PAM
Bojan Dubljevic,13.5,2022-12-23,PAM
Cory Higgins,9.5,2022-12-23,BAR
Jan Vesely,8.5,2022-12-23,BAR
Nikola Kalinic,7.5,2022-12-23,BAR
Nicolas Laprovittola,13.5,2022-12-23,BAR
Nikola Mirotic,16.5,2022-12-23,BAR
Charles Kahudi,5.5,2023-01-11,ASV
Amine Noua,5.5,2023-01-11,ASV
Retin Obasohan,7.5,2023-01-11,ASV
Jonah Mathews,10.5,2023-01-11,ASV
Youssoupha Fall,8.5,2023-01-11,ASV
Cory Higgins,9.5,2023-01-11,BAR
Sertac Sanli,6.5,2023-01-11,BAR
Nicolas Laprovittola,13.5,2023-01-11,BAR
Nikola Mirotic,14.5,2023-01-11,BAR
Roman Sorkin,7.5,2023-01-11,TEL
Lorenzo Brown,17.5,2023-01-11,TEL
Bonzie Colson,8.5,2023-01-11,TEL
Danilo Andusic,7.5,2023-01-11,PAR
Ioannis Papapetrou,5.5,2023-01-11,PAR
William James Nunnally,9.5,2023-01-11,PAR
Zach Leday,9.5,2023-01-11,PAR
Mathias Lessort,12.5,2023-01-11,PAR
Yam Madar,7.5,2023-01-11,PAR
Kevin Punter,13.5,2023-01-11,PAR
Jalen Adams,8.5,2023-01-11,TEL
Xabi Lopez-Arostegui,7.5,2023-01-11,PAM
Klemen Prepelic,7.5,2023-01-11,PAM
Bojan Dubljevic,15.5,2023-01-11,PAM
Rodrigue Beaubois,12.5,2023-01-11,IST
Amath M'Baye,6.5,2023-01-11,IST
Ante Zizic,6.5,2023-01-11,IST
Will Clyburn,18.5,2023-01-11,IST
Vasilije Micic,18.5,2023-01-11,IST
Charles Kahudi,6.5,2023-01-13,ASV
Nando Colo De,13.5,2023-01-13,ASV
Retin Obasohan,7.5,2023-01-13,ASV
Jonah Mathews,10.5,2023-01-13,ASV
Youssoupha Fall,9.5,2023-01-13,ASV
James Iii Webb,10.5,2023-01-13,PAM
Jonah Radebaugh,9.5,2023-01-13,PAM
Bojan Dubljevic,13.5,2023-01-13,PAM
Georgios Papagiannis,7.5,2023-01-13,PAN
Dwayne Bacon,20.5,2023-01-13,PAN
Paris Lee,7.5,2023-01-13,PAN
Derrick Williams,13.5,2023-01-13,PAN
Arturas Gudaitis,7.5,2023-01-13,PAN
Roman Sorkin,6.5,2023-01-13,TEL
Lorenzo Brown,18.5,2023-01-13,TEL
Bonzie Colson,8.5,2023-01-13,TEL
Josh Nebo,9.5,2023-01-13,TEL
Jarell Martin,7.5,2023-01-13,TEL
Mateusz Ponitka,8.5,2023-01-13,PAN
Cory Higgins,9.5,2023-01-13,BAR
Jan Vesely,9.5,2023-01-13,BAR
Nikola Kalinic,7.5,2023-01-13,BAR
Nicolas Laprovittola,12.5,2023-01-13,BAR
Nikola Mirotic,15.5,2023-01-13,BAR
Rodrigue Beaubois,9.5,2023-01-13,IST
Shane Larkin,11.5,2023-01-13,IST
Will Clyburn,16.5,2023-01-13,IST
Vasilije Micic,16.5,2023-01-13,IST
Brandon Davies,12.5,2023-01-13,MIL
Billy Baron,12.5,2023-01-13,MIL
Nicolo Melli,8.5,2023-01-13,MIL
Devon Hall,8.5,2023-01-13,MIL
Ignas Brazdeikis,10.5,2023-01-13,ZAL
Rolands Smits,10.5,2023-01-13,ZAL
Edgaras Ulanovas,11.5,2023-01-13,ZAL
Danilo Andusic,7.5,2023-01-13,PAR
Ioannis Papapetrou,5.5,2023-01-13,PAR
Zach Leday,11.5,2023-01-13,PAR
Mathias Lessort,12.5,2023-01-13,PAR
Yam Madar,6.5,2023-01-13,PAR
Kevin Punter,14.5,2023-01-13,PAR
Darius Thompson,10.5,2023-01-13,BAS
Matthew Costello,9.5,2023-01-13,BAS
Rokas Giedraitis,9.5,2023-01-13,BAS
Rodrigue Beaubois,9.5,2023-02-01,IST
Shane Larkin,13.5,2023-02-01,IST
Will Clyburn,16.5,2023-02-01,IST
Elijah Bryant,6.5,2023-02-01,IST
Vasilije Micic,17.5,2023-02-01,IST
Lukas Lekavicius,8.5,2023-02-01,ZAL
Ignas Brazdeikis,10.5,2023-02-01,ZAL
Rolands Smits,11.5,2023-02-01,ZAL
Tamir Blatt,10.5,2023-02-01,BER
Yovel Zoosman,6.5,2023-02-01,BER
Jaleen Smith,13.5,2023-02-01,BER
Louis Olinde,8.5,2023-02-01,BER
Luke Sikma,7.5,2023-02-01,BER
Elie Okobo,10.5,2023-02-01,MCO
Jordan Loyd,9.5,2023-02-01,MCO
Alpha Diallo,10.5,2023-02-01,MCO
Mike James,18.5,2023-02-01,MCO
Donatas Motiejunas,7.5,2023-02-01,MCO
Sergio Llull,6.5,2023-02-01,MAD
Dzanan Musa,15.5,2023-02-01,MAD
Mario Hezonja,8.5,2023-02-01,MAD
Gabriel Deck,11.5,2023-02-01,MAD
Guerschon Yabusele,8.5,2023-02-01,MAD
Georgios Papagiannis,7.5,2023-02-01,PAN
Dwayne Bacon,18.5,2023-02-01,PAN
Paris Lee,9.5,2023-02-01,PAN
Derrick Williams,12.5,2023-02-01,PAN
Arturas Gudaitis,5.5,2023-02-01,PAN
Nick Calathes,8.5,2023-02-03,ULK
Scottie Wilbekin,12.5,2023-02-03,ULK
Johnathan Motley,14.5,2023-02-03,ULK
Marko Guduric,11.5,2023-02-03,ULK
Tamir Blatt,8.5,2023-02-03,BER
Jaleen Smith,12.5,2023-02-03,BER
Louis Olinde,7.5,2023-02-03,BER
Luke Sikma,7.5,2023-02-03,BER
Nigel Hayes,8.5,2023-02-03,ULK
Carsen Edwards,7.5,2023-02-03,ULK
Elie Okobo,11.5,2023-02-03,MCO
Jordan Loyd,10.5,2023-02-03,MCO
Alpha Diallo,9.5,2023-02-03,MCO
Mike James,18.5,2023-02-03,MCO
Donatas Motiejunas,8.5,2023-02-03,MCO
Sergio Llull,6.5,2023-02-03,MAD
Dzanan Musa,14.5,2023-02-03,MAD
Mario Hezonja,8.5,2023-02-03,MAD
Gabriel Deck,10.5,2023-02-03,MAD
Guerschon Yabusele,9.5,2023-02-03,MAD
Walter Tavares,11.5,2023-02-03,MAD
Ignas Brazdeikis,11.5,2023-02-03,ZAL
Rolands Smits,10.5,2023-02-03,ZAL
Edgaras Ulanovas,12.5,2023-02-03,ZAL
Ioannis Papapetrou,5.5,2023-02-03,PAR
William James Nunnally,7.5,2023-02-03,PAR
Zach Leday,10.5,2023-02-03,PAR
Mathias Lessort,12.5,2023-02-03,PAR
Kevin Punter,14.5,2023-02-03,PAR
Isaiah Canaan,8.5,2023-02-03,OLY
Thomas Walkup,9.5,2023-02-03,OLY
Shaquielle Mckissic,9.5,2023-02-03,OLY
Kostas Papanikolaou,8.5,2023-02-03,OLY
Sasha Vezenkov,18.5,2023-02-03,OLY
Rodrigue Beaubois,9.5,2023-02-03,IST
Shane Larkin,13.5,2023-02-03,IST
Will Clyburn,15.5,2023-02-03,IST
Vasilije Micic,15.5,2023-02-03,IST
Darius Thompson,13.5,2023-02-03,BAS
Vanja Marinkovic,7.5,2023-02-03,BAS
Steven Enoch,7.5,2023-02-03,BAS
Matthew Costello,9.5,2023-02-03,BAS
Rokas Giedraitis,10.5,2023-02-03,BAS
Georgios Papagiannis,7.5,2023-02-03,PAN
Dwayne Bacon,17.5,2023-02-03,PAN
Paris Lee,10.5,2023-02-03,PAN
Derrick Williams,11.5,2023-02-03,PAN
Nando Colo De,14.5,2023-02-03,ASV
Jonah Mathews,9.5,2023-02-03,ASV
Youssoupha Fall,9.5,2023-02-03,ASV
Ismael Bako,8.5,2023-02-03,VIR
Tornike Shengelia,12.5,2023-02-03,VIR
Mam Jaiteh,9.5,2023-02-03,VIR
Kyle Weems,8.5,2023-02-03,VIR
Tamir Blatt,9.5,2023-02-08,BER
Jaleen Smith,12.5,2023-02-08,BER
Louis Olinde,7.5,2023-02-08,BER
Thomas Walkup,8.5,2023-02-08,OLY
Shaquielle Mckissic,9.5,2023-02-08,OLY
Kostas Papanikolaou,7.5,2023-02-08,OLY
Sasha Vezenkov,19.5,2023-02-08,OLY
Ognjen Dobric,9.5,2023-02-24,RED
Luca Vildoza,14.5,2023-02-24,RED
Benjamin Bentil,6.5,2023-02-24,RED
Nemanja Nedovic,15.5,2023-02-24,RED
Filip Petrusev,10.5,2023-02-24,RED
Jaleen Smith,11.5,2023-02-24,BER
Maodo Lo,10.5,2023-02-24,BER
Louis Olinde,8.5,2023-02-24,BER
Luke Sikma,7.5,2023-02-24,BER
Demarquis Bost,9.5,2023-02-24,ASV
Nando Colo De,14.5,2023-02-24,ASV
Youssoupha Fall,8.5,2023-02-24,ASV
Rodrigue Beaubois,11.5,2023-02-24,IST
Shane Larkin,14.5,2023-02-24,IST
Will Clyburn,17.5,2023-02-24,IST
Elijah Bryant,7.5,2023-02-24,IST
Jared Harper,9.5,2023-02-24,PAM
Xabi Lopez-Arostegui,6.5,2023-02-24,PAM
Thomas Walkup,7.5,2023-02-24,OLY
Moustapha Fall,7.5,2023-02-24,OLY
Kostas Sloukas,10.5,2023-02-24,OLY
Kostas Papanikolaou,8.5,2023-02-24,OLY
Sasha Vezenkov,18.5,2023-02-24,OLY
Tornike Shengelia,11.5,2023-02-24,VIR
Mam Jaiteh,8.5,2023-02-24,VIR
Milos Teodosic,11.5,2023-02-24,VIR
Markus Howard,15.5,2023-02-24,BAS
Darius Thompson,10.5,2023-02-24,BAS
Vanja Marinkovic,6.5,2023-02-24,BAS
Matthew Costello,10.5,2023-02-24,BAS
Rokas Giedraitis,8.5,2023-02-24,BAS
Cory Higgins,9.5,2023-02-24,BAR
Tomas Satoransky,8.5,2023-02-24,BAR
Nicolas Laprovittola,9.5,2023-02-24,BAR
Nikola Mirotic,14.5,2023-02-24,BAR
Elie Okobo,10.5,2023-02-24,MCO
Jordan Loyd,9.5,2023-02-24,MCO
Mike James,17.5,2023-02-24,MCO
Nigel Hayes,7.5,2023-03-03,ULK
Nick Calathes,7.5,2023-03-03,ULK
Johnathan Motley,14.5,2023-03-03,ULK
Marko Guduric,12.5,2023-03-03,ULK
Tornike Shengelia,11.5,2023-03-03,VIR
Mam Jaiteh,8.5,2023-03-03,VIR
Marco Belinelli,12.5,2023-03-03,VIR
Milos Teodosic,11.5,2023-03-03,VIR
Charles Kahudi,6.5,2023-03-03,ASV
Demarquis Bost,9.5,2023-03-03,ASV
Nando Colo De,14.5,2023-03-03,ASV
Jonah Mathews,8.5,2023-03-03,ASV
Dzanan Musa,16.5,2023-03-03,MAD
Mario Hezonja,11.5,2023-03-03,MAD
Gabriel Deck,13.5,2023-03-03,MAD
Nigel Williams-Goss,8.5,2023-03-03,MAD
Walter Tavares,12.5,2023-03-03,MAD
Youssoupha Fall,8.5,2023-03-03,ASV
Brandon Davies,11.5,2023-03-03,MIL
Billy Baron,11.5,2023-03-03,MIL
Timothe Luwawu-Cabarrot,8.5,2023-03-03,MIL
Thomas Walkup,7.5,2023-03-03,OLY
Moustapha Fall,7.5,2023-03-03,OLY
Kostas Sloukas,10.5,2023-03-03,OLY
Kostas Papanikolaou,8.5,2023-03-03,OLY
Sasha Vezenkov,18.5,2023-03-03,OLY
Markus Howard,16.5,2023-03-03,BAS
Darius Thompson,11.5,2023-03-03,BAS
Matthew Costello,10.5,2023-03-03,BAS
Rokas Giedraitis,10.5,2023-03-03,BAS
Jared Harper,9.5,2023-03-03,PAM
Chris Jones,14.5,2023-03-03,PAM
Jasiel Rivero,10.5,2023-03-03,PAM
Klemen Prepelic,8.5,2023-03-03,PAM
Bojan Dubljevic,11.5,2023-03-03,PAM
Rodrigue Beaubois,12.5,2023-03-10,IST
Amath M'Baye,8.5,2023-03-10,IST
Ante Zizic,11.5,2023-03-10,IST
Will Clyburn,19.5,2023-03-10,IST
Elijah Bryant,8.5,2023-03-10,IST
Tibor Pleiss,5.5,2023-03-10,IST
Roman Sorkin,7.5,2023-03-10,TEL
Lorenzo Brown,16.5,2023-03-10,TEL
Bonzie Colson,11.5,2023-03-10,TEL
Wade Iv Baldwin,15.5,2023-03-10,TEL
Jarell Martin,8.5,2023-03-10,TEL
Nigel Hayes,8.5,2023-03-10,ULK
Nick Calathes,7.5,2023-03-10,ULK
Scottie Wilbekin,12.5,2023-03-10,ULK
Johnathan Motley,13.5,2023-03-10,ULK
Marko Guduric,11.5,2023-03-10,ULK
Cory Higgins,9.5,2023-03-10,BAR
Jan Vesely,8.5,2023-03-10,BAR
Tomas Satoransky,7.5,2023-03-10,BAR
Nikola Kalinic,6.5,2023-03-10,BAR
Nicolas Laprovittola,12.5,2023-03-10,BAR
Nikola Mirotic,15.5,2023-03-10,BAR
Georgios Papagiannis,9.5,2023-03-10,PAN
Mateusz Ponitka,8.5,2023-03-10,PAN
Paris Lee,12.5,2023-03-10,PAN
Derrick Williams,10.5,2023-03-10,PAN
Benjamin Bentil,6.5,2023-03-10,RED
Facundo Campazzo,13.5,2023-03-10,RED
Darius Thompson,11.5,2023-03-10,BAS
Matthew Costello,11.5,2023-03-10,BAS
Rokas Giedraitis,10.5,2023-03-10,BAS
Elie Okobo,11.5,2023-03-10,MCO
Jordan Loyd,11.5,2023-03-10,MCO
Alpha Diallo,11.5,2023-03-10,MCO
Amath M'Baye,7.5,2023-03-16,IST
Will Clyburn,16.5,2023-03-16,IST
Elijah Bryant,9.5,2023-03-16,IST
Vasilije Micic,13.5,2023-03-16,IST
William James Nunnally,8.5,2023-03-16,PAR
Zach Leday,9.5,2023-03-16,PAR
Mathias Lessort,11.5,2023-03-16,PAR
Alen Smailagic,5.5,2023-03-16,PAR
Kevin Punter,15.5,2023-03-16,PAR
Jordan Loyd,15.5,2023-03-16,MCO
Alpha Diallo,12.5,2023-03-16,MCO
Donatas Motiejunas,7.5,2023-03-16,MCO
Achille Polonara,6.5,2023-03-16,ZAL
Ignas Brazdeikis,11.5,2023-03-16,ZAL
Rolands Smits,9.5,2023-03-16,ZAL
Edgaras Ulanovas,9.5,2023-03-16,ZAL
Isaiah Canaan,6.5,2023-03-16,OLY
Thomas Walkup,9.5,2023-03-16,OLY
Moustapha Fall,6.5,2023-03-16,OLY
Shaquielle Mckissic,8.5,2023-03-16,OLY
Giannoulis Larentzakis,8.5,2023-03-16,OLY
Kostas Papanikolaou,9.5,2023-03-16,OLY
Sasha Vezenkov,18.5,2023-03-16,OLY
Lorenzo Brown,16.5,2023-03-16,TEL
Bonzie Colson,11.5,2023-03-16,TEL
Josh Nebo,6.5,2023-03-16,TEL
Wade Iv Baldwin,16.5,2023-03-16,TEL
Markus Howard,13.5,2023-03-16,BAS
Darius Thompson,12.5,2023-03-16,BAS
Vanja Marinkovic,7.5,2023-03-16,BAS
Steven Enoch,5.5,2023-03-16,BAS
Matthew Costello,9.5,2023-03-16,BAS
Rokas Giedraitis,9.5,2023-03-16,BAS
Jared Harper,9.5,2023-03-16,PAM
Chris Jones,14.5,2023-03-16,PAM
Xabi Lopez-Arostegui,5.5,2023-03-16,PAM
Bojan Dubljevic,10.5,2023-03-16,PAM
Nigel Hayes,9.5,2023-03-16,ULK
Nick Calathes,8.5,2023-03-16,ULK
Scottie Wilbekin,11.5,2023-03-16,ULK
Johnathan Motley,13.5,2023-03-16,ULK
Marko Guduric,12.5,2023-03-16,ULK
Dzanan Musa,14.5,2023-03-16,MAD
Mario Hezonja,8.5,2023-03-16,MAD
Vincent Poirier,5.5,2023-03-16,MAD
Gabriel Deck,11.5,2023-03-16,MAD
Guerschon Yabusele,7.5,2023-03-16,MAD
Walter Tavares,11.5,2023-03-16,MAD
Kevin Pangos,9.5,2023-03-16,MIL
Brandon Davies,9.5,2023-03-16,MIL
Billy Baron,10.5,2023-03-16,MIL
Nicolo Melli,8.5,2023-03-16,MIL
Kyle Hines,5.5,2023-03-16,MIL
Demarquis Bost,9.5,2023-03-16,ASV
Nando Colo De,13.5,2023-03-16,ASV
Retin Obasohan,6.5,2023-03-16,ASV
Jonah Mathews,9.5,2023-03-16,ASV
Youssoupha Fall,10.5,2023-03-16,ASV
David Lighty,6.5,2023-03-16,ASV
Georgios Papagiannis,8.5,2023-03-16,PAN
Mateusz Ponitka,8.5,2023-03-16,PAN
Dwayne Bacon,12.5,2023-03-16,PAN
Paris Lee,11.5,2023-03-16,PAN
Marius Grigonis,7.5,2023-03-16,PAN
Jan Vesely,8.5,2023-03-17,BAR
Nikola Kalinic,7.5,2023-03-17,BAR
Nicolas Laprovittola,11.5,2023-03-17,BAR
Nikola Mirotic,16.5,2023-03-17,BAR
Luca Vildoza,12.5,2023-03-17,RED
Benjamin Bentil,7.5,2023-03-17,RED
Facundo Campazzo,14.5,2023-03-17,RED
Cassius Winston,11.5,2023-03-17,MUN
Isaac Bonga,7.5,2023-03-17,MUN
Louis Olinde,9.5,2023-03-17,BER
Luke Sikma,8.5,2023-03-17,BER
Nick Calathes,7.5,2023-03-21,ULK
Scottie Wilbekin,11.5,2023-03-21,ULK
Johnathan Motley,13.5,2023-03-21,ULK
Marko Guduric,12.5,2023-03-21,ULK
Brandon Davies,9.5,2023-03-21,MIL
Billy Baron,12.5,2023-03-21,MIL
Timothe Luwawu-Cabarrot,7.5,2023-03-21,MIL
Nicolo Melli,8.5,2023-03-21,MIL
Nigel Hayes,8.5,2023-03-24,ULK
Carsen Edwards,9.5,2023-03-24,ULK
Nick Calathes,7.5,2023-03-24,ULK
Johnathan Motley,15.5,2023-03-24,ULK
Marko Guduric,14.5,2023-03-24,ULK
Lukas Lekavicius,7.5,2023-03-24,ZAL
Ignas Brazdeikis,11.5,2023-03-24,ZAL
Rolands Smits,9.5,2023-03-24,ZAL
Edgaras Ulanovas,9.5,2023-03-24,ZAL
Elie Okobo,14.5,2023-03-24,MCO
Jordan Loyd,14.5,2023-03-24,MCO
Alpha Diallo,13.5,2023-03-24,MCO
Jared Harper,10.5,2023-03-24,PAM
Chris Jones,14.5,2023-03-24,PAM
Xabi Lopez-Arostegui,5.5,2023-03-24,PAM
Bojan Dubljevic,10.5,2023-03-24,PAM
Jordan Mickey,8.5,2023-03-24,VIR
Tornike Shengelia,10.5,2023-03-24,VIR
Mam Jaiteh,8.5,2023-03-24,VIR
Kyle Weems,6.5,2023-03-24,VIR
Dzanan Musa,14.5,2023-03-24,MAD
Mario Hezonja,8.5,2023-03-24,MAD
Guerschon Yabusele,8.5,2023-03-24,MAD
Walter Tavares,11.5,2023-03-24,MAD
Ioannis Papapetrou,6.5,2023-03-24,PAR
Zach Leday,11.5,2023-03-24,PAR
Mathias Lessort,12.5,2023-03-24,PAR
Yam Madar,5.5,2023-03-24,PAR
Kevin Punter,14.5,2023-03-24,PAR
Shaquielle Mckissic,9.5,2023-03-24,OLY
Kostas Sloukas,9.5,2023-03-24,OLY
Sasha Vezenkov,18.5,2023-03-24,OLY
Brandon Davies,10.5,2023-03-24,MIL
Billy Baron,11.5,2023-03-24,MIL
Nicolo Melli,8.5,2023-03-24,MIL
Torrian Walden,7.5,2023-03-24,MUN
Andreas Obst,8.5,2023-03-24,MUN
Nick Weiler-Babb,7.5,2023-03-24,MUN
