player,points_pros,date,player_team
Isaia Cordinier,8.5,2024-01-10,VIR
Marco Belinelli,14.5,2024-01-10,VIR
Rodrigue Beaubois,10.5,2024-01-12,IST
Shane Larkin,17.5,2024-01-12,IST
Darius Thompson,11.5,2024-01-12,IST
Elijah Bryant,9.5,2024-01-12,IST
Tibor Pleiss,10.5,2024-01-12,IST
Daniel Hackett,8.5,2024-01-12,VIR
Tornike Shengelia,14.5,2024-01-12,VIR
Isaia Cordinier,8.5,2024-01-12,VIR
Marco Belinelli,13.5,2024-01-12,VIR
Willy Hernangomez,11.5,2024-01-12,BAR
Jabari Parker,10.5,2024-01-12,BAR
Tomas Satoransky,8.5,2024-01-12,BAR
Nikola Kalinic,9.5,2024-01-12,BAR
Keenan Evans,15.5,2024-01-12,ZAL
Rolands Smits,10.5,2024-01-12,ZAL
Edgaras Ulanovas,8.5,2024-01-12,ZAL
Perry Jr Dozier,7.5,2024-01-12,PAR
William James Nunnally,12.5,2024-01-12,PAR
Zach Leday,9.5,2024-01-12,PAR
Kevin Punter,15.5,2024-01-12,PAR
Roman Sorkin,7.5,2024-01-12,TEL
Lorenzo Brown,12.5,2024-01-12,TEL
Bonzie Colson,11.5,2024-01-12,TEL
Josh Nebo,8.5,2024-01-12,TEL
Wade Iv Baldwin,14.5,2024-01-12,TEL
Tadas Sedekerskis,9.5,2024-01-12,BAS
Codi Miller-Mcintyre,8.5,2024-01-12,BAS
Vanja Marinkovic,9.5,2024-01-12,BAS
Nikola Milutinov,8.5,2024-01-12,OLY
Alec Peters,13.5,2024-01-12,OLY
Isaiah Canaan,10.5,2024-01-12,OLY
Thomas Walkup,8.5,2024-01-12,OLY
Moustapha Fall,8.5,2024-01-12,OLY
Kostas Papanikolaou,6.5,2024-01-12,OLY
Mike Scott,10.5,2024-01-12,ASV
Timothe Luwawu-Cabarrot,14.5,2024-01-12,ASV
Paris Lee,11.5,2024-01-12,ASV
Joffrey Lauvergne,11.5,2024-01-12,ASV
Matteo Spagnolo,7.5,2024-01-12,BER
Gabriele Procida,8.5,2024-01-12,BER
Yanni Wetzell,8.5,2024-01-12,BER
Sterling Brown,12.5,2024-01-12,BER
Laurynas Birutis,8.5,2024-01-19,ZAL
Keenan Evans,15.5,2024-01-19,ZAL
Edgaras Ulanovas,7.5,2024-01-19,ZAL
Tyler Dorsey,11.5,2024-01-19,ULK
Nick Calathes,6.5,2024-01-19,ULK
Scottie Wilbekin,14.5,2024-01-19,ULK
Johnathan Motley,11.5,2024-01-19,ULK
Tomas Dimsa,6.5,2024-01-19,ZAL
Marko Guduric,9.5,2024-01-19,ULK
Jordan Loyd,10.5,2024-01-19,MCO
Alpha Diallo,10.5,2024-01-19,MCO
Mike James,17.5,2024-01-19,MCO
Donatas Motiejunas,7.5,2024-01-19,MCO
Facundo Campazzo,12.5,2024-01-19,MAD
Mario Hezonja,11.5,2024-01-19,MAD
Vincent Poirier,9.5,2024-01-19,MAD
Guerschon Yabusele,8.5,2024-01-19,MAD
Jerian Grant,8.5,2024-01-19,PAN
Mathias Lessort,14.5,2024-01-19,PAN
Konstantinos Mitoglou,11.5,2024-01-19,PAN
Kostas Sloukas,11.5,2024-01-19,PAN
Marius Grigonis,9.5,2024-01-19,PAN
Perry Jr Dozier,10.5,2024-01-19,PAR
Bruno Caboclo,11.5,2024-01-19,PAR
Danilo Andusic,5.5,2024-01-19,PAR
William James Nunnally,12.5,2024-01-19,PAR
Zach Leday,10.5,2024-01-19,PAR
Alen Smailagic,7.5,2024-01-19,PAR
Jaleen Smith,6.5,2024-01-19,PAR
Semi Ojeleye,11.5,2024-01-19,PAM
Damien Inglis,7.5,2024-01-19,PAM
Jared Harper,9.5,2024-01-19,PAM
Chris Jones,12.5,2024-01-19,PAM
Nicolo Melli,9.5,2024-01-19,MIL
Devon Hall,8.5,2024-01-19,MIL
Johannes Voigtmann,6.5,2024-01-19,MIL
Kyle Hines,5.5,2024-01-19,MIL
Nick Calathes,6.5,2024-01-25,ULK
Scottie Wilbekin,14.5,2024-01-25,ULK
Marko Guduric,10.5,2024-01-25,ULK
Bryant Dunston,5.5,2024-01-25,VIR
Jordan Mickey,9.5,2024-01-25,VIR
Iffe Lundberg,8.5,2024-01-25,VIR
Daniel Hackett,9.5,2024-01-25,VIR
Matt Thomas,8.5,2024-01-25,BER
Matteo Spagnolo,8.5,2024-01-25,BER
Gabriele Procida,9.5,2024-01-25,BER
Sterling Brown,12.5,2024-01-25,BER
Dejan Davidovac,5.5,2024-01-25,RED
Joel Bolomboy,9.5,2024-01-25,RED
Yago Santos Dos,12.5,2024-01-25,RED
Rokas Giedraitis,12.5,2024-01-25,RED
Adam Hanga,8.5,2024-01-25,RED
Roman Sorkin,7.5,2024-01-25,TEL
Lorenzo Brown,12.5,2024-01-25,TEL
Bonzie Colson,11.5,2024-01-25,TEL
Josh Nebo,9.5,2024-01-25,TEL
Wade Iv Baldwin,16.5,2024-01-25,TEL
Jerian Grant,11.5,2024-01-25,PAN
Mathias Lessort,14.5,2024-01-25,PAN
Konstantinos Mitoglou,12.5,2024-01-25,PAN
Marius Grigonis,10.5,2024-01-25,PAN
Carsen Edwards,12.5,2024-01-25,MUN
Devin Booker,8.5,2024-01-25,MUN
Sylvain Francisco,11.5,2024-01-25,MUN
Leandro Bolmaro,8.5,2024-01-25,MUN
Andreas Obst,8.5,2024-01-25,MUN
Nick Weiler-Babb,5.5,2024-01-25,MUN
Vladimir Lucic,6.5,2024-01-25,MUN
Mike Scott,7.5,2024-01-25,ASV
Paris Lee,12.5,2024-01-25,ASV
Joffrey Lauvergne,10.5,2024-01-25,ASV
Facundo Campazzo,11.5,2024-01-25,MAD
Dzanan Musa,12.5,2024-01-25,MAD
Mario Hezonja,11.5,2024-01-25,MAD
Vincent Poirier,12.5,2024-01-25,MAD
Gabriel Deck,9.5,2024-01-25,MAD
Fabien Causeur,6.5,2024-01-25,MAD
Filip Petrusev,10.5,2024-01-25,OLY
Alec Peters,14.5,2024-01-25,OLY
Isaiah Canaan,12.5,2024-01-25,OLY
Thomas Walkup,8.5,2024-01-25,OLY
Shaquielle Mckissic,5.5,2024-01-25,OLY
Giannoulis Larentzakis,5.5,2024-01-25,OLY
Kostas Papanikolaou,6.5,2024-01-25,OLY
Rodrigue Beaubois,10.5,2024-01-26,IST
Shane Larkin,16.5,2024-01-26,IST
Derek Willis,8.5,2024-01-26,IST
Darius Thompson,11.5,2024-01-26,IST
Elijah Bryant,9.5,2024-01-26,IST
Jordan Loyd,11.5,2024-01-26,MCO
Alpha Diallo,11.5,2024-01-26,MCO
Mike James,17.5,2024-01-26,MCO
Donatas Motiejunas,8.5,2024-01-26,MCO
Shabazz Napier,13.5,2024-01-26,MIL
Johannes Voigtmann,6.5,2024-01-26,MIL
Nicolo Melli,8.5,2024-01-26,MIL
Devon Hall,8.5,2024-01-26,MIL
Shavon Shields,13.5,2024-01-26,MIL
Willy Hernangomez,11.5,2024-01-26,BAR
Jan Vesely,9.5,2024-01-26,BAR
Tomas Satoransky,8.5,2024-01-26,BAR
Nikola Kalinic,8.5,2024-01-26,BAR
Perry Jr Dozier,11.5,2024-01-26,PAR
William James Nunnally,12.5,2024-01-26,PAR
Zach Leday,9.5,2024-01-26,PAR
Alen Smailagic,7.5,2024-01-26,PAR
Kevin Punter,14.5,2024-01-26,PAR
Laurynas Birutis,9.5,2024-01-26,ZAL
Keenan Evans,15.5,2024-01-26,ZAL
Rolands Smits,11.5,2024-01-26,ZAL
Tadas Sedekerskis,9.5,2024-01-26,BAS
Codi Miller-Mcintyre,7.5,2024-01-26,BAS
Markus Howard,17.5,2024-01-26,BAS
Vanja Marinkovic,10.5,2024-01-26,BAS
Semi Ojeleye,11.5,2024-01-26,PAM
Damien Inglis,8.5,2024-01-26,PAM
Brandon Davies,12.5,2024-01-26,PAM
Jared Harper,9.5,2024-01-26,PAM
Chris Jones,12.5,2024-01-26,PAM
Aleksa Avramovic,5.5,2024-01-26,PAR
Joel Bolomboy,10.5,2024-01-30,RED
Adam Hanga,8.5,2024-01-30,RED
Nemanja Nedovic,11.5,2024-01-30,RED
Semi Ojeleye,12.5,2024-01-30,PAM
Jared Harper,8.5,2024-01-30,PAM
Chris Jones,11.5,2024-01-30,PAM
Mike Scott,9.5,2024-01-30,ASV
Edwin Jackson,6.5,2024-01-30,ASV
Paris Lee,13.5,2024-01-30,ASV
Youssoupha Fall,9.5,2024-01-30,ASV
Tyler Dorsey,10.5,2024-01-30,ULK
Nick Calathes,6.5,2024-01-30,ULK
Scottie Wilbekin,14.5,2024-01-30,ULK
Johnathan Motley,12.5,2024-01-30,ULK
Marko Guduric,10.5,2024-01-30,ULK
Carsen Edwards,13.5,2024-01-30,MUN
Sylvain Francisco,11.5,2024-01-30,MUN
Leandro Bolmaro,7.5,2024-01-30,MUN
Andreas Obst,8.5,2024-01-30,MUN
Vladimir Lucic,7.5,2024-01-30,MUN
Chima Moneke,13.5,2024-01-30,BAS
Codi Miller-Mcintyre,6.5,2024-01-30,BAS
Markus Howard,17.5,2024-01-30,BAS
Vanja Marinkovic,8.5,2024-01-30,BAS
Nigel Williams-Goss,8.5,2024-01-30,OLY
Alec Peters,15.5,2024-01-30,OLY
Isaiah Canaan,12.5,2024-01-30,OLY
Kostas Papanikolaou,8.5,2024-01-30,OLY
Matt Thomas,9.5,2024-01-30,BER
Matteo Spagnolo,6.5,2024-01-30,BER
Gabriele Procida,9.5,2024-01-30,BER
Yanni Wetzell,10.5,2024-01-30,BER
Sterling Brown,11.5,2024-01-30,BER
Facundo Campazzo,12.5,2024-01-30,MAD
Gabriel Deck,11.5,2024-01-30,MAD
Lorenzo Brown,13.5,2024-01-30,TEL
Bonzie Colson,11.5,2024-01-30,TEL
Josh Nebo,9.5,2024-01-30,TEL
Wade Iv Baldwin,15.5,2024-01-30,TEL
Elie Okobo,10.5,2024-01-31,MCO
Jordan Loyd,11.5,2024-01-31,MCO
Alpha Diallo,11.5,2024-01-31,MCO
Mike James,17.5,2024-01-31,MCO
Donatas Motiejunas,8.5,2024-01-31,MCO
Perry Jr Dozier,12.5,2024-01-31,PAR
Bruno Caboclo,9.5,2024-01-31,PAR
William James Nunnally,12.5,2024-01-31,PAR
Zach Leday,10.5,2024-01-31,PAR
Alen Smailagic,7.5,2024-01-31,PAR
Aleksa Avramovic,7.5,2024-01-31,PAR
Kevin Punter,14.5,2024-01-31,PAR
Laurynas Birutis,9.5,2024-01-31,ZAL
Keenan Evans,16.5,2024-01-31,ZAL
Rolands Smits,11.5,2024-01-31,ZAL
Edgaras Ulanovas,7.5,2024-01-31,ZAL
Rodrigue Beaubois,11.5,2024-01-31,IST
Shane Larkin,16.5,2024-01-31,IST
Derek Willis,8.5,2024-01-31,IST
Darius Thompson,11.5,2024-01-31,IST
Elijah Bryant,9.5,2024-01-31,IST
Jerian Grant,10.5,2024-01-31,PAN
Mathias Lessort,13.5,2024-01-31,PAN
Kendrick Nunn,15.5,2024-01-31,PAN
Konstantinos Mitoglou,12.5,2024-01-31,PAN
Marius Grigonis,10.5,2024-01-31,PAN
Nikola Mirotic,13.5,2024-01-31,MIL
Shabazz Napier,11.5,2024-01-31,MIL
Devon Hall,8.5,2024-01-31,MIL
Shavon Shields,15.5,2024-01-31,MIL
Willy Hernangomez,11.5,2024-01-31,BAR
Jabari Parker,11.5,2024-01-31,BAR
Jan Vesely,11.5,2024-01-31,BAR
Tomas Satoransky,7.5,2024-01-31,BAR
Nikola Kalinic,8.5,2024-01-31,BAR
Nicolas Laprovittola,11.5,2024-01-31,BAR
Iffe Lundberg,8.5,2024-01-31,VIR
Daniel Hackett,8.5,2024-01-31,VIR
Isaia Cordinier,9.5,2024-01-31,VIR
Marco Belinelli,13.5,2024-01-31,VIR
Matt Thomas,9.5,2024-02-01,BER
Matteo Spagnolo,7.5,2024-02-01,BER
Gabriele Procida,8.5,2024-02-01,BER
Yanni Wetzell,8.5,2024-02-01,BER
Sterling Brown,11.5,2024-02-01,BER
Semi Ojeleye,11.5,2024-02-01,PAM
Damien Inglis,8.5,2024-02-01,PAM
Jared Harper,8.5,2024-02-01,PAM
Chris Jones,12.5,2024-02-01,PAM
Carsen Edwards,11.5,2024-02-01,MUN
Sylvain Francisco,11.5,2024-02-01,MUN
Leandro Bolmaro,8.5,2024-02-01,MUN
Andreas Obst,8.5,2024-02-01,MUN
Nigel Williams-Goss,10.5,2024-02-01,OLY
Alec Peters,14.5,2024-02-01,OLY
Isaiah Canaan,13.5,2024-02-01,OLY
Thomas Walkup,7.5,2024-02-01,OLY
Chima Moneke,15.5,2024-02-01,BAS
Codi Miller-Mcintyre,8.5,2024-02-01,BAS
Vanja Marinkovic,11.5,2024-02-01,BAS
Roman Sorkin,7.5,2024-02-01,TEL
Lorenzo Brown,13.5,2024-02-01,TEL
Bonzie Colson,13.5,2024-02-01,TEL
Wade Iv Baldwin,16.5,2024-02-01,TEL
Dzanan Musa,13.5,2024-02-01,MAD
Mario Hezonja,11.5,2024-02-01,MAD
Vincent Poirier,11.5,2024-02-01,MAD
Gabriel Deck,9.5,2024-02-01,MAD
Mike Scott,11.5,2024-02-01,ASV
Edwin Jackson,7.5,2024-02-01,ASV
Paris Lee,12.5,2024-02-01,ASV
Youssoupha Fall,9.5,2024-02-01,ASV
Rodrigue Beaubois,10.5,2024-02-02,IST
Tyrique Jones,6.5,2024-02-02,IST
Derek Willis,7.5,2024-02-02,IST
Darius Thompson,10.5,2024-02-02,IST
Will Clyburn,13.5,2024-02-02,IST
Tibor Pleiss,7.5,2024-02-02,IST
Nikola Mirotic,13.5,2024-02-02,MIL
Shabazz Napier,11.5,2024-02-02,MIL
Alex Poythress,6.5,2024-02-02,MIL
Devon Hall,7.5,2024-02-02,MIL
Shavon Shields,14.5,2024-02-02,MIL
Tomas Dimsa,6.5,2024-02-02,ZAL
Arnas Butkevicius,5.5,2024-02-02,ZAL
Brady Manek,8.5,2024-02-02,ZAL
Laurynas Birutis,9.5,2024-02-02,ZAL
Keenan Evans,14.5,2024-02-02,ZAL
Rolands Smits,11.5,2024-02-02,ZAL
Kevarrius Hayes,5.5,2024-02-02,ZAL
Jerian Grant,8.5,2024-02-02,PAN
Kendrick Nunn,15.5,2024-02-02,PAN
Konstantinos Mitoglou,12.5,2024-02-02,PAN
Marius Grigonis,10.5,2024-02-02,PAN
Joel Bolomboy,9.5,2024-02-02,RED
Yago Santos Dos,6.5,2024-02-02,RED
Rokas Giedraitis,10.5,2024-02-02,RED
Adam Hanga,7.5,2024-02-02,RED
Milos Teodosic,8.5,2024-02-02,RED
Nemanja Nedovic,13.5,2024-02-02,RED
Willy Hernangomez,11.5,2024-02-02,BAR
Jabari Parker,11.5,2024-02-02,BAR
Dario Brizuela,5.5,2024-02-02,BAR
Jan Vesely,10.5,2024-02-02,BAR
Tomas Satoransky,6.5,2024-02-02,BAR
Nikola Kalinic,8.5,2024-02-02,BAR
Rokas Jokubaitis,5.5,2024-02-02,BAR
Nicolas Laprovittola,12.5,2024-02-02,BAR
John Brown,6.5,2024-02-02,MCO
Elie Okobo,10.5,2024-02-02,MCO
Jordan Loyd,11.5,2024-02-02,MCO
Alpha Diallo,10.5,2024-02-02,MCO
Mike James,17.5,2024-02-02,MCO
Donatas Motiejunas,7.5,2024-02-02,MCO
Nick Calathes,6.5,2024-02-02,ULK
Scottie Wilbekin,13.5,2024-02-02,ULK
Johnathan Motley,12.5,2024-02-02,ULK
Marko Guduric,9.5,2024-02-02,ULK
Jordan Mickey,9.5,2024-02-02,VIR
Iffe Lundberg,9.5,2024-02-02,VIR
Daniel Hackett,8.5,2024-02-02,VIR
Isaia Cordinier,9.5,2024-02-02,VIR
Marco Belinelli,13.5,2024-02-02,VIR
Perry Jr Dozier,10.5,2024-02-02,PAR
Bruno Caboclo,8.5,2024-02-02,PAR
Frank Kaminsky,9.5,2024-02-02,PAR
William James Nunnally,11.5,2024-02-02,PAR
Alen Smailagic,6.5,2024-02-02,PAR
Kevin Punter,15.5,2024-02-02,PAR
Rokas Giedraitis,10.5,2024-02-09,RED
Laurynas Birutis,9.5,2024-02-09,ZAL
Keenan Evans,15.5,2024-02-09,ZAL
Rolands Smits,10.5,2024-02-09,ZAL
Edgaras Ulanovas,8.5,2024-02-09,ZAL
Adam Hanga,7.5,2024-02-09,RED
Jerian Grant,8.5,2024-02-09,PAN
Konstantinos Mitoglou,12.5,2024-02-09,PAN
Marius Grigonis,10.5,2024-02-09,PAN
Nigel Hayes,11.5,2024-02-09,ULK
Nick Calathes,6.5,2024-02-09,ULK
Scottie Wilbekin,13.5,2024-02-09,ULK
Johnathan Motley,11.5,2024-02-09,ULK
Marko Guduric,8.5,2024-02-09,ULK
Willy Hernangomez,11.5,2024-02-09,BAR
Dario Brizuela,7.5,2024-02-09,BAR
Jan Vesely,11.5,2024-02-09,BAR
Nikola Kalinic,8.5,2024-02-09,BAR
Nicolas Laprovittola,12.5,2024-02-09,BAR
Matt Thomas,9.5,2024-02-09,BER
Matteo Spagnolo,7.5,2024-02-09,BER
Gabriele Procida,8.5,2024-02-09,BER
Yanni Wetzell,7.5,2024-02-09,BER
Iffe Lundberg,10.5,2024-02-09,VIR
Daniel Hackett,8.5,2024-02-09,VIR
Tornike Shengelia,11.5,2024-02-09,VIR
Isaia Cordinier,10.5,2024-02-09,VIR
Marco Belinelli,13.5,2024-02-09,VIR
John Brown,6.5,2024-02-09,MCO
Elie Okobo,11.5,2024-02-09,MCO
Jordan Loyd,10.5,2024-02-09,MCO
Alpha Diallo,10.5,2024-02-09,MCO
Mike James,18.5,2024-02-09,MCO
Donatas Motiejunas,7.5,2024-02-09,MCO
Yanni Wetzell,8.5,2024-02-29,BER
Jasiel Rivero,8.5,2024-02-29,TEL
Lorenzo Brown,13.5,2024-02-29,TEL
Bonzie Colson,12.5,2024-02-29,TEL
Josh Nebo,9.5,2024-02-29,TEL
Wade Iv Baldwin,18.5,2024-02-29,TEL
Zach Leday,9.5,2024-02-29,PAR
Aleksa Avramovic,8.5,2024-02-29,PAR
Kevin Punter,16.5,2024-02-29,PAR
Rodrigue Beaubois,10.5,2024-02-29,IST
Shane Larkin,16.5,2024-02-29,IST
Darius Thompson,10.5,2024-02-29,IST
Will Clyburn,11.5,2024-02-29,IST
Iffe Lundberg,9.5,2024-02-29,VIR
Daniel Hackett,7.5,2024-02-29,VIR
Tornike Shengelia,13.5,2024-02-29,VIR
Isaia Cordinier,9.5,2024-02-29,VIR
Marco Belinelli,14.5,2024-02-29,VIR
Damien Inglis,7.5,2024-02-29,PAM
Brandon Davies,12.5,2024-02-29,PAM
Jared Harper,7.5,2024-02-29,PAM
Chris Jones,12.5,2024-02-29,PAM
Bruno Caboclo,7.5,2024-02-29,PAR
Frank Kaminsky,9.5,2024-02-29,PAR
Tibor Pleiss,9.5,2024-02-29,IST
Stefan Jovic,5.5,2024-02-29,PAM
Facundo Campazzo,11.5,2024-02-29,MAD
Dzanan Musa,12.5,2024-02-29,MAD
Mario Hezonja,11.5,2024-02-29,MAD
Gabriel Deck,9.5,2024-02-29,MAD
Guerschon Yabusele,8.5,2024-02-29,MAD
Walter Tavares,10.5,2024-02-29,MAD
Jerian Grant,8.5,2024-02-29,PAN
Mathias Lessort,12.5,2024-02-29,PAN
Kendrick Nunn,16.5,2024-02-29,PAN
Konstantinos Mitoglou,11.5,2024-02-29,PAN
Kostas Sloukas,8.5,2024-02-29,PAN
Marius Grigonis,9.5,2024-02-29,PAN
Nigel Hayes,11.5,2024-03-01,ULK
Nick Calathes,8.5,2024-03-01,ULK
Scottie Wilbekin,13.5,2024-03-01,ULK
Johnathan Motley,12.5,2024-03-01,ULK
Marko Guduric,8.5,2024-03-01,ULK
Chima Moneke,13.5,2024-03-01,BAS
Codi Miller-Mcintyre,8.5,2024-03-01,BAS
Markus Howard,17.5,2024-03-01,BAS
Vanja Marinkovic,10.5,2024-03-01,BAS
Brady Manek,8.5,2024-03-01,ZAL
Keenan Evans,16.5,2024-03-01,ZAL
Rolands Smits,10.5,2024-03-01,ZAL
Edgaras Ulanovas,8.5,2024-03-01,ZAL
Alec Peters,12.5,2024-03-01,OLY
Isaiah Canaan,12.5,2024-03-01,OLY
Thomas Walkup,8.5,2024-03-01,OLY
Moustapha Fall,8.5,2024-03-01,OLY
Kostas Papanikolaou,6.5,2024-03-01,OLY
Mike Scott,10.5,2024-03-01,ASV
Timothe Luwawu-Cabarrot,10.5,2024-03-01,ASV
Paris Lee,11.5,2024-03-01,ASV
Joffrey Lauvergne,11.5,2024-03-01,ASV
Nicolo Melli,7.5,2024-03-01,MIL
Devon Hall,7.5,2024-03-01,MIL
Shavon Shields,16.5,2024-03-01,MIL
Jabari Parker,10.5,2024-03-01,BAR
Tomas Satoransky,7.5,2024-03-01,BAR
Nicolas Laprovittola,12.5,2024-03-01,BAR
Elie Okobo,10.5,2024-03-01,MCO
Alpha Diallo,10.5,2024-03-01,MCO
Mike James,18.5,2024-03-01,MCO
Donatas Motiejunas,7.5,2024-03-01,MCO
Carsen Edwards,11.5,2024-03-01,MUN
Devin Booker,7.5,2024-03-01,MUN
Serge Ibaka,12.5,2024-03-01,MUN
Leandro Bolmaro,7.5,2024-03-01,MUN
Andreas Obst,7.5,2024-03-01,MUN
Joel Bolomboy,9.5,2024-03-01,RED
Yago Santos Dos,12.5,2024-03-01,RED
Rokas Giedraitis,10.5,2024-03-01,RED
Nemanja Nedovic,13.5,2024-03-01,RED
Adam Hanga,6.5,2024-03-01,RED
